場所,階数,ジャンル,店名
AMU HAKATA,B1,スイーツ,大名ソフトクリーム
AMU HAKATA,B1,,ウィズグリーン
AMU HAKATA,B1,,スープストックトーキョー
AMU HAKATA,B1,カフェ,シナボン・シアトルズベストコーヒー
AMU HAKATA,B1,カフェ,DEAN & DELUCA
AMU HAKATA,B1,カフェ,みのりカフェ
AMU HAKATA,B1,カフェ,プロント
AMU HAKATA,B1,カフェ,春水堂
AMU HAKATA,1,スイーツ,ア・ラ・カンパーニュ
AMU HAKATA,5,カフェ,パン屋むつか堂カフェ
AMU HAKATA,6,カフェ,アフタヌーンティー・ティールーム
くうてん,9,鉄板焼,鉄板焼　天　博多
くうてん,9,牛たん,牛たん炭焼　利久
くうてん,9,串揚げ,東京恵比寿　串亭
くうてん,9,とんかつ,鹿児島　黒かつ亭
くうてん,9,うなぎ,うなぎ　徳
くうてん,9,カフェ,抹茶カフェ　ハチ
くうてん,9,カフェ,カフェ　オーバカナル
くうてん,9,和食,加賀屋
くうてん,9,中華,華都飯店
くうてん,9,めんたいこ,めんたい料理　博多　椒房庵
くうてん,9,ハンバーグ,グリル大宮
くうてん,9,寿司,鮨割烹やま中
くうてん,9,天ぷら,銀座　天一
くうてん,9,すき焼,人形町今半
くうてん,9,ピザ,イゾラ　博多
くうてん,9,スイーツ,キャンベル・アーリー
くうてん,9,パスタ,37 PASTA
くうてん,9,蕎麦,石臼挽きそば　石月
くうてん,9,鶏料理,かしわ屋源次郎
くうてん,9,海鮮,喜水亭　和樂
くうてん,9,点心,鼎泰豊
くうてん,9,フレンチ,メルヴェイユ博多
くうてん,9,バー,MYMON 一木庵
くうてん,10,もつ鍋,笑楽
くうてん,10,焼鳥,うまや
くうてん,10,鶏料理,もも焼き　伴鳥
くうてん,10,海鮮,トクトク
くうてん,10,ラーメン,一風堂
くうてん,10,ひつまぶし,和牛　西豊舎
くうてん,10,お好み焼き,清十郎
くうてん,10,中華,四川飯店
くうてん,10,カフェ,おさるのジョージ　キッチン
くうてん,10,しゃぶしゃぶ,西新　初喜
くうてん,10,焼肉,チャンピオン
くうてん,10,ベトナム,ロータスパレス
くうてん,10,スペイン,ラ・ボデガ
くうてん,10,ステーキ,ぶどうの樹
くうてん,10,野菜,ミスターアンドミセスグリーン
くうてん,10,水炊き,濵田屋
くうてん,10,うどん,わっぱち
くうてん,10,海鮮,レカイエ　オイスターバー
くうてん,10,餃子,博多鉄なべ　無限餃子
くうてん,10,メキシコ,カンティーナ　エルボラーチョ
くうてん,10,韓国,バリトン
くうてん,10,ワイン,博多ワイン醸造所　竹乃屋
DEITOS博多ほろよい通り,1,もつ鍋,おおやま亭
DEITOS博多ほろよい通り,1,居酒屋,長浜鮮魚卸直営店　炉端　魚助
DEITOS博多ほろよい通り,1,居酒屋,立ち飲み酒場　よかたい
DEITOS博多ほろよい通り,1,居酒屋,もつやき処い志井
DEITOS博多ほろよい通り,1,居酒屋,ポン介
DEITOS博多ほろよい通り,1,焼鳥,焼鳥司
DEITOS博多ほろよい通り,1,居酒屋,博多さかなや食堂　辰悦丸
DEITOS博多ほろよい通り,1,バル,ニューコマツ
DEITOS,B1,居酒屋,まるとく食堂
